URN;Name;Street;Locality;Address;Town;County;Postcode;Number
116044;Tavistock Infant School;Broadacres;Calthorpe Park;;Fleet;Hampshire;GU51 4EB;1252616778
116045;Hook Junior School;Ravenscroft;;;Hook;Hampshire;RG27 9NN;1256762468
116046;Olivers Battery Primary School;Austen Avenue;Olivers Battery;;Winchester;Hampshire;SO22 4HP;1962869496
116047;Oakley Infant School;Oakley Lane;Oakley;;Basingstoke;Hampshire;RG23 7JZ;1256780445
116048;Cupernham Infant School;Bransley Close;Woodley Lane;;Romsey;Hampshire;SO51 7JT;1794514494
116049;Calmore Infant School;Calmore Drive;Calmore;;Southampton;Hampshire;SO40 2ZZ;2380865994
116050;Yateley Infant School;Cranford Park Drive;;;Yateley;Hampshire;GU46 6LB;
116051;Lymington Junior School;Avenue Road;;;Lymington;Hampshire;SO41 9GP;1590674383
116052;Mengham Junior School;Palmerston Road;;;Hayling Island;Hampshire;PO11 9ET;2392462162
116053;Bidbury Junior School;Fraser Road;Bedhampton;;Havant;Hampshire;PO9 3EF;2392474513
116054;Velmead Junior School;Velmead Road;;;Fleet;Hampshire;GU52 7LG;1252628704
116055;Manor Field Infant School;Haydn Road;Brighton Hill;;Basingstoke;Hampshire;RG22 4DH;1256350300
116056;Liphook Infant School;Avenue Close;;Liphook Infant School;Liphook;Hampshire;GU30 7QE;1428722036
116057;Chalk Ridge Primary School;Sullivan Road;Brighton Hill;;Basingstoke;Hampshire;RG22 4ER;1256461733
116058;Crofton Hammond Junior School;Mancroft Avenue;Stubbington;;Fareham;Hampshire;PO14 2DE;1329664451
116059;Potley Hill Primary School;Potley Hill Road;;Potley Hill Primary School;Yateley;Hampshire;GU46 6AG;1252876106
116060;Kings Copse Primary School;Kings Copse Road;Hedge End;;Southampton;Hampshire;SO30 0PQ;1489785040
116061;Netley Abbey Junior School;Westwood Road;Netley Abbey;;Southampton;Hampshire;SO31 5EL;2380453731
116062;Waite End Infant School;Mill Road;;;Waterlooville;Hampshire;PO7 7DB;
116063;Balksbury Infant School;Floral Way;Salisbury Road;;Andover;Hampshire;SP10 3QP;1264352801
116064;Beech Down Primary School;Gershwin Road;Brighton Hill;;Basingstoke;Hampshire;RG22 4HQ;
116065;Petersgate Infant School;Green Lane;Clanfield;;Waterlooville;Hampshire;PO8 0JU;2392593950
116066;Manor Infant School;Teachers Way;Hardley;;Southampton;Hampshire;SO45 2QG;
116067;Springwood Junior School;Springwood Avenue;;;Waterlooville;Hampshire;PO7 8ED;2392258011
116068;Fordingbridge Junior School;Pennys Lane;;;Fordingbridge;Hampshire;SP6 1HJ;1425652285
116069;Fordingbridge Infant School;Pennys Lane;;;Fordingbridge;Hampshire;SP6 1HJ;1425653624
116070;Netley Abbey Infant School;Westwood Road;Netley Abbey;;Southampton;Hampshire;SO31 5EL;2380452263
116071;Greenfields Junior School;Green Lane;Hartley Wintney;;Hook;Hampshire;RG27 8DQ;1252843822
116072;Shakespeare Junior School;St Catherine's Road;;;Eastleigh;Hampshire;SO50 4JT;2380618905
116073;Marchwood Junior School;Main Road;Marchwood;;Southampton;Hampshire;SO40 4ZH;2380863105
116074;Colden Common Primary School;Upper Moors Road;Brambridge;;Eastleigh;Hampshire;SO50 6HW;1962712111
116075;Mayhill Junior School;The Bury;Odiham;;Hook;Hampshire;RG29 1NB;1256702973
116076;Woolton Hill Junior School;Woolton Hill;;;Newbury;Berkshire;RG20 9XE;1635253364
116077;Woodlands Primary School;Eagle Avenue;Cowplain;;Waterlooville;Hampshire;PO8 9XP;
116078;Norwood Primary School;Chamberlayne Road;;;Eastleigh;Hampshire;SO50 5JL;2380322582
116079;Red Barn Community Primary School;Linden Lea;Portchester;;Fareham;Hampshire;PO16 8HJ;1329288011
116080;Newlands Primary School;Dungells Lane;;;Yateley;Hampshire;GU46 6EY;1252871188
116081;Rookwood Infants' School;Penshurst Way;Boyatt Wood;;Eastleigh;Hampshire;SO50 4RJ;
116082;Four Lanes Infant School;Hanmore Road;Chineham;;Basingstoke;Hampshire;RG24 8PQ;1256324256
116083;Castle Primary School;Castle Street;Portchester;;Fareham;Hampshire;PO16 9QQ;2392375324
116084;Bidbury Infant School;Fraser Road;Bedhampton;;Havant;Hampshire;PO9 3EF;2392483336
116137;Hatch Warren Infant School;Gershwin Road;;;Basingstoke;Hampshire;RG22 4PQ;1256350313
116139;West End Infant School;York Road;;;Aldershot;Hampshire;GU11 3JG;
116140;Cove Junior School;Fernhill Road;Cove;;Farnborough;Hampshire;GU14 9SA;1252542941
116141;Cove Infant School;92 Fernhill Road;Cove;;Farnborough;Hampshire;GU14 9DP;1252543737
116142;Tower Hill Primary School;Fowler Road;;;Farnborough;Hampshire;GU14 0BW;1252541786
116143;Marlborough Infant School;Redvers Buller Road;;;Aldershot;Hampshire;GU11 2HR;1252323910
116144;South Farnborough Infant School;Queen's Road;;;Farnborough;Hampshire;GU14 6JU;1252543727
116145;North Farnborough Infant School;Rectory Road;;;Farnborough;Hampshire;GU14 8AJ;1252544606
116146;Manor Junior School;Fernhill Road;Cove;;Farnborough;Hampshire;GU14 9DX;1252544072
116147;Grange Community Junior School;Wren Way;Prospect Estate;;Farnborough;Hampshire;GU14 8TA;1252542196
116148;Farnborough Grange Nursery/Infant Community School;Moor Road;;;Farnborough;Hampshire;GU14 8HW;
116149;Talavera Junior School;Gun Hill;;;Aldershot;Hampshire;GU11 1RG;1252322156
116150;Manor Infant School;Fernhill Road;Cove;;Farnborough;Hampshire;GU14 9DX;1252543348
116151;Talavera Infant School;Gun Hill;;;Aldershot;Hampshire;GU11 1RG;1252323137
116152;Mayfield Junior School;Mayfield Road;;;Farnborough;Hampshire;GU14 8LH;
116153;Mayfield Community Infant School;Aldwick Close;;;Farnborough;Hampshire;GU14 8LH;
116154;Parsonage Farm Nursery and Infant School;Cherry Tree Close;;;Farnborough;Hampshire;GU14 9TT;1252548003
116155;South Farnborough Junior School;Cunnington Road;;;Farnborough;Hampshire;GU14 6PL;1252545682
116156;Beaumont Junior School;Alexandra Road;;;Aldershot;Hampshire;GU11 1QJ;
